Sum of MegaTrials/Sec,Column Labels,,,,,,,
Row Labels,1024,4096,16384,65536,262144,1048576,2097152,Grand Total
8,8.7408,233.1512,482.1092,757.1164,831.8441,830.9792,857.3522,4001.2931
32,35.9551,290.9091,1005.894,1826.9402,2580.1575,3045.9192,2962.7485,11748.5236
64,51.9481,329.0488,1177.0115,2308.9064,3645.7497,4296.3157,4978.4261,16787.4063
128,46.5116,295.612,764.1791,2760.1078,3383.7257,5425.1657,5814.0524,18489.3543
Grand Total,143.1556,1148.7211,3429.1938,7653.0708,10441.477,13598.3798,14612.5792,51026.5773
,,,,,,,,
,,,,,,,,
,,,,,,,,
,1024,4096,16384,65536,262144,1048576,2097152,
8,8.7408,233.1512,482.1092,757.1164,831.8441,830.9792,857.3522,
32,35.9551,290.9091,1005.894,1826.9402,2580.1575,3045.9192,2962.7485,
64,51.9481,329.0488,1177.0115,2308.9064,3645.7497,4296.3157,4978.4261,
128,46.5116,295.612,764.1791,2760.1078,3383.7257,5425.1657,5814.0524,
