Sum of Performance (GigaMultiplies/Sec),Column Labels,,,,,,
Row Labels,16384,65536,262144,1048576,4194304,16777216,Grand Total
1,1.96,2.1,2.13,2.22,1.98,1.91,12.3
4,5.64,6.98,7.17,7.2,7.24,6.52,40.75
16,12.86,19.16,20.17,23.53,23.56,23.44,122.72
64,13.84,21.76,23.81,28.5,28.43,28.13,144.47
256,8.28,11.38,12.74,15.58,15.59,15.63,79.2
Grand Total,42.58,61.38,66.02,77.03,76.8,75.63,399.44
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Matrix Size (Matrix Width x Matrix Width),,,,,
,,16384,65536,262144,1048576,4194304,16777216
,1,1.96,2.1,2.13,2.22,1.98,1.91
,4,5.64,6.98,7.17,7.2,7.24,6.52
,16,12.86,19.16,20.17,23.53,23.56,23.44
,64,13.84,21.76,23.81,28.5,28.43,28.13
,256,8.28,11.38,12.74,15.58,15.59,15.63
